domain,ip
6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com,
7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com,
gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com,
ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com,
k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com,
mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com,
deftsecurity.com,13.59.205.66
freescanonline.com,54.193.127.66
thedoccloud.com,54.215.192.52
websitetheme.com,34.203.203.23
highdatabase.com,139.99.115.204
incomeupdate.com,5.252.177.25
databasegalore.com,5.252.177.21
panhardware.com,204.188.205.176
zupertech.com,51.89.125.18
zupertech.com,167.114.213.199
freescanonline.com,
deftsecurity.com,
freescanonline.com,
thedoccloud.com,
thedoccloud.com,
thedoccloud.com,
,71.152.53.66
,71.152.53.72
,71.152.53.74
,71.152.53.75
,71.152.53.8
,71.152.53.9
,71.152.53.96
,71.152.53.99
,74.114.26.53
,87.238.80.1
,87.238.80.106
,87.238.80.11
,87.238.80.128
,87.238.80.129
,87.238.80.131
,87.238.80.136
,87.238.80.137
,87.238.80.138
,87.238.80.139
,87.238.80.150
,87.238.80.160
,87.238.80.161
,87.238.80.162
,87.238.80.168
,87.238.80.169
,87.238.80.170
,87.238.80.171
,87.238.80.182
,87.238.80.192
,87.238.80.2
,87.238.80.20
,87.238.80.22
,87.238.80.227
,87.238.80.3
,87.238.80.33
,87.238.80.34
,87.238.80.35
,87.238.80.40
,87.238.80.42
,87.238.80.43
,87.238.80.54
,87.238.80.65
,87.238.80.67
,87.238.80.72
,87.238.80.8
,87.238.80.9
,87.238.81.1
,87.238.81.101
,87.238.81.11
,87.238.81.120
,87.238.81.128
,87.238.81.136
,87.238.81.138
,87.238.81.139
,87.238.81.151
,87.238.81.160
,87.238.81.161
,87.238.81.162
,87.238.81.163
,87.238.81.168
,87.238.81.169
,87.238.81.180
,87.238.81.190
,87.238.81.196
,87.238.81.2
,87.238.81.201
,87.238.81.21
,87.238.81.224
,87.238.81.235
,87.238.81.28
,87.238.81.3
,87.238.81.32
,87.238.81.33
,87.238.81.34
,87.238.81.40
,87.238.81.42
,87.238.81.43
,87.238.81.66
,87.238.81.75
,87.238.81.8
,87.238.81.9
,87.238.81.96
,87.238.81.99
,87.238.82.1
,87.238.82.10
,87.238.82.129
,87.238.82.130
,87.238.82.131
,87.238.82.136
,87.238.82.138
,87.238.82.139
,87.238.82.156
,87.238.82.159
,87.238.82.160
,87.238.82.161
,87.238.82.162
,87.238.82.163
,87.238.82.168
,87.238.82.169
,87.238.82.170
,87.238.82.171
,87.238.82.180
,87.238.82.191
,87.238.82.2
,87.238.82.23
,87.238.82.233
,87.238.82.29
,87.238.82.3
,87.238.82.30
,87.238.82.32
,87.238.82.33
,87.238.82.34
,87.238.82.35
,87.238.82.40
,87.238.82.41
,87.238.82.63
,87.238.82.64
,87.238.82.74
,87.238.82.8
,87.238.82.9
,87.238.83.1
,87.238.83.11
,87.238.83.128
,87.238.83.129
,87.238.83.130
,87.238.83.131
,87.238.83.138
,87.238.83.139
,87.238.83.156
,87.238.83.160
,87.238.83.161
,87.238.83.162
,87.238.83.163
,87.238.83.168
,87.238.83.171
,87.238.83.188
,87.238.83.189
,87.238.83.193
,87.238.83.2
,87.238.83.202
,87.238.83.30
,87.238.83.32
,87.238.83.33
,87.238.83.34
,87.238.83.35
,87.238.83.41
,87.238.83.42
,87.238.83.43
,87.238.83.60
,87.238.83.66
,87.238.83.9
,87.238.84.1
,87.238.84.10
,87.238.84.11
,87.238.84.129
,87.238.84.130
,87.238.84.136
,87.238.84.137
,87.238.84.139
,87.238.84.150
,87.238.84.160
,87.238.84.161
,87.238.84.162
,87.238.84.163
,87.238.84.168
,87.238.84.169
,87.238.84.170
,87.238.84.171
,87.238.84.181
,87.238.84.190
,87.238.84.191
,87.238.84.193
,87.238.84.194
,87.238.84.2
,87.238.84.20
,87.238.84.201
,87.238.84.224
,87.238.84.227
,87.238.84.23
,87.238.84.235
,87.238.84.32
,87.238.84.33
,87.238.84.35
,87.238.84.40
,87.238.84.41
,87.238.84.42
,87.238.84.43
,87.238.84.60
,87.238.84.61
,87.238.84.75
,87.238.84.78
,87.238.84.8
,87.238.84.9
,87.238.84.97
,87.238.85.10
,87.238.85.107
,87.238.85.11
,87.238.85.128
,87.238.85.130
,87.238.85.131
,87.238.85.136
,87.238.85.138
,87.238.85.151
,87.238.85.158
,87.238.85.160
,87.238.85.161
,87.238.85.162
,87.238.85.163
,87.238.85.168
,87.238.85.169
,87.238.85.180
,87.238.85.181
,87.238.85.2
,87.238.85.202
,87.238.85.32
,87.238.85.33
,87.238.85.34
,87.238.85.35
,87.238.85.40
,87.238.85.41
,87.238.85.42
,87.238.85.43
,87.238.85.60
,87.238.85.62
,87.238.85.8
,87.238.85.9
,87.238.86.1
,87.238.86.10
,87.238.86.105
,87.238.86.106
,87.238.86.11
,87.238.86.128
,87.238.86.130
,87.238.86.131
,87.238.86.136
,87.238.86.138
,87.238.86.149
,87.238.86.151
,87.238.86.160
,87.238.86.161
,87.238.86.162
,87.238.86.168
,87.238.86.169
,87.238.86.170
,87.238.86.171
,87.238.86.182
,87.238.86.188
,87.238.86.195
,87.238.86.2
,87.238.86.201
,87.238.86.3
,87.238.86.30
,87.238.86.32
,87.238.86.33
,87.238.86.34
,87.238.86.35
,87.238.86.40
,87.238.86.42
,87.238.86.43
,87.238.86.55
,87.238.86.64
,87.238.86.67
,87.238.86.9
,87.238.87.1
,87.238.87.10
,87.238.87.11
,87.238.87.128
,87.238.87.130
,87.238.87.137
,87.238.87.138
,87.238.87.139
,87.238.87.151
,87.238.87.158
,87.238.87.160
,87.238.87.162
,87.238.87.163
,87.238.87.168
,87.238.87.169
,87.238.87.171
,87.238.87.2
,87.238.87.201
,87.238.87.22
,87.238.87.227
,87.238.87.232
,87.238.87.29
,87.238.87.3
,87.238.87.33
,87.238.87.34
,87.238.87.35
,87.238.87.41
,87.238.87.42
,87.238.87.43
,87.238.87.55
,87.238.87.62
,87.238.87.65
,87.238.87.66
,87.238.87.8
,87.238.87.9
,87.238.87.98
,96.31.172.1
,96.31.172.10
,96.31.172.100
,96.31.172.101
,96.31.172.102
,96.31.172.103
,96.31.172.104
,96.31.172.105
,96.31.172.106
,96.31.172.107
,96.31.172.108
,96.31.172.109
,96.31.172.11
,96.31.172.110
,96.31.172.111
,96.31.172.112
,96.31.172.113
,96.31.172.114
,96.31.172.115
,96.31.172.117
,96.31.172.118
,96.31.172.119
,96.31.172.12
,96.31.172.120
,96.31.172.121
,96.31.172.122
,96.31.172.123
,96.31.172.124
,96.31.172.125
,96.31.172.126
,96.31.172.127
,96.31.172.128
,96.31.172.129
,96.31.172.13
,96.31.172.130
,96.31.172.131
,96.31.172.132
,96.31.172.133
